Russian Captions                          Georgian Captions
Химик-СКА-2                               ximik-ska-2
Брест-2                                   brest-2
Санму                                     sanmu
СКА-Варяги                                ska-variagi
Орлик                                     orliki
Нес                                       nesi
Хасле/Лорен                               hasle/loreni
Хасле\/Лорен                              hasle/loreni
Гардена                                   gardena
Кальтерн                                  kalterni
Ноймаркт                                  noimarkti
Эппан                                     epani
Аризона                                   arizona
Белые Медведицы                           belie medvedici
Дебрецен                                  debreceni
Напрзод                                   naprzodi
Союз                                      soiuzi
Канада-чёрные                             kanada Savebi
Сокол Нчб                                 sokoli nCb
Сан-Антонио                               san-antonio
Гентофте                                  gentofte
Лаузитцер Фюксе                           lauzitcer fiukse
Фурусет                                   furuseti
Динамо Бшх                                dinamo bSx
ММКС Новы Тарг                            mmks novi targi
Металлург-2 Жл                            metalurg-2 Jl
Ютика                                     iutika
Крокене                                   krokene
Грунер                                    gruneri
Чикаго Вулвз                              Cikago vulvzi
Канада-Восток                             kanada aRm.
Раубичи-98                                raubiCi-98
ГКС Ястшембе                              gks iastSembe
Вашаш                                     vaSaSi
Подхале Новы Тарг                         podhale novi targi
СКА-Серебряные Львы                       ska-serebrianie lvi
Лида                                      lida
Могилёв                                   mogiliovi
Динамо-Раубичи                            dinamo raubiCi
Ястршембе                                 iastrSembe
Ч.Будеёвице                               C.budeiovice
Фредериксхавн                             frederiksxavni
Лехай Вэлли                               lexai veli
Сеница                                    senica
Загреб                                    zagrebi
Люстенау                                  liustenau
