Russian Captions                          Georgian Captions
Регби Нью-Йорк Айронворкерс               regbi niu-iork aironvorkersi
Хьюстон Сэйбркетс                         hiuston seibrqeTsi
Чили-7                                    Cili-7
Долфинз                                   dolfinzi
Сан-Диего Легион                          san-diego legioni
Даллас Джакалс                            dalas jakalsi
Чикаго Хаундс                             Cikago haundsi
Торонто Арроус                            toronto arousi
Юта Уорриорс                              iuta uoriorsi
Нью Ингланд Фри Джекс                     niu ingland fri jeksi
Химик                                     ximiki
Ротор                                     rotori
Богатыри                                  bogatiri
Колорно                                   kolorno
Вестерн Клайдсдейлс                       vestern klaidsdeilsi
Донкастер РЛФК                            donkaster rlfk
Хунслет РЛФК                              hunslet rlfk
Мидлендс Харрикейнз                       midlends harikeinzi
Сидней Рустерс 2                          sidnei rustersi 2
Хантер Вайлдфайрс                         hanter vaildfairsi
ОАЭ-7                                     age-7
Южная Корея-7                             samx. korea-7
Валенсе Романс                            valense romansi
Руэн Норманди                             ruen normandi
ЦСКА-7                                    cska-7
Кубань-7                                  yubani-1
Красный Яр 2                              krasni iar 2
Енисей-СТМ-2                              enisei-stm-2
Стрела                                    strela
ЦСКА-Динамо                               cska-dinamo
Орлы                                      arwivebi
Зилант-7                                  zilant-t
Красный Яр-7                              krasnii iar-7
Академия                                  akademia
Витязь-7                                  vitiaz-7
Ростов-ДГТУ-7                             rostov-dgtu-7
Бордо-7                                   bordo-7
Таиланд-7                                 tailandi-7
Тойота Индастриз Шаттлз                   toiota indastriz Satlzi
Майами Шаркс                              maiami Sarqsi
Кочеби                                    koCebi
Сентрал Читаз                             sentral Citazi
ВВА-Подмосковье-7                         vva-podmoskovie-7
Таниварау                                 tanivarau
Маунт Альберт Лионессес                   maunT albert lionesesi
Папакура Си Иглз                          papakura si iglzi
Отахуху Леопардс                          otahuhu leopardsi
Енисей-СТМ-7                              enisei-stm-7
Нотерн Сабербс                            noTern saberbsi
Мэнли                                     menli
Южная Корея                               samxreT korea
Малайзия                                  malaizia
Те Атату Рустерс                          te atatu rustersi
Отара Скорпионс                           otara skorpionsi
Мэрист Сейнтс                             merist seinTsi
Папакура Си Иглс                          papakura si iglsi
Гленора Бирс                              glenora birsi
Московская академия регби                 moskovis ragbis akademia
Спартак                                   spartaki
Норт Бич Си Иглс                          norT biC si iglsi
Джундалуп Джайентс                        jundalup jaienTsi
Элленбрук Рэббитоуз                       elenbruk rebitouzi
Фримантл Рустерс                          frimantl rustersi
Сб. Республики Татарстан-7                nakr. rspublika tatarstan-7
Кинг Каунтри                              qing qaunTri
Теймс Валли                               Teims vali
Локомотив-Пенза 2                         lokomotiv-penza 2
Лангон                                    langoni
Тао                                       tao
Нидерланды                                niderlandi
Сосьете Женераль Вэллей                   sosiete Jeneral velei
Кролл Тайгерс                             krol taigersi
Пайпер Коулун                             faifer kouluni
Лландовери                                landoveri
Понтипул                                  pontipuli
Сан Исидро                                san isidro
Буэнос Айрес                              buenos airesi
Эббв-Вейл                                 ebbv-veili
Кармартен Квинс                           karmarten qvinsi
Айа Кутаиси                               aia quTaisi
Сб. Санкт-Петербурга                      sankt-peterburgis nakr.
Грузия-7                                  saqarTvelo-7
азс авф варшава                           azs avf varSava
белосток                                  belostoki
