Russian Captions                          Georgian Captions
Мартинез Кабаши А.П.Н.                    a. p. n. martinez kabaSi
У Хо-Цзин                                 xo-czin u
Аристеги М.                               m. aristegi
Хаяшида Д.                                d. xaiaSida
Гонсалез Фицмаурисе Е.                    e. gonsalez ficmaurise
Эскиси Л.                                 l. eskisi
Патино Л.                                 l. patino
Джесси Флорес                             j. floresi
Сесар Рамирес                             s. ramiresi
Суарес О.                                 o.suaresi
Босмедиано Пасмино Х. М.                  x. m. bosmediano pasmino
Томас Фархат                              t. farxati
Пампанин П.                               p. pampanini
Роттоли Л.                                l. rotoli
Соррентино Л.                             l. sorentino
Беар А                                    a. beari
Кэтрина Скотт                             k. skoti
Тим Джуринский                            t. jurinski
Артур Бельжи                              a. belJi
Жиль С.                                   s. Jili
Влиген Й.                                 i. vligeni
Эрбер П.-Ю.                               p. i. erberi
Маю Н.                                    n. maiu
Фроули Дж.                                j. frouli
Джасика О.                                o. jasika
Рецци М.                                  m. reci
Ноче Г.                                   g. noCe
Ясмин Мансури                             i. mansuri
Диана Демидова                            d. demidova
Милосавлевич П.                           p. milosavleviCi
Тимеа Ярушкова                            t. iaruSkova
Карлос Санчес Ховер                       k. s. xoveri
Минетти М.                                m. minetti
Цветкович Т.                              t. cvetkoviCi
Масич М.                                  m. masiCi
Скилипоти С.                              s. skilipoti
Войчинакова И.                            i. voiCinakova
Бекли А.                                  a. bekli
Берберович Н.                             n. berberoviCi
Лу Цзя-Цзин                               czia-czin lu
Яценко П.                                 p. iacenko
Шауха Д.                                  d. Sauxa
Луис Брюнског                             l. briunskogi
Лоусон А.                                 a. lousoni
Маргароли Л.                              l. margaroli
Барриос Вера М.Т.                         m. t. barios vera
Мена Ф.                                   f. mena
Тибо Колсон                               t. kolsoni
Глушко Ю.                                 i. gluSko
Аракава Х.                                x. arakava
Хирин Н.                                  n. xirini
Корт Дж.                                  j. korti
